fold,test_case,test_seed,model,repeat,effective_conductivity_W_mK,random_mean_k_eff_W_mK,heat_path_k_eff_W_mK,teacher_best_k_eff_W_mK,improvement_vs_random_percent,recovered_optimizer_gain_fraction,difference_vs_heat_path_percent,difference_vs_teacher_percent,outperforms_heat_path,selected_count,jaccard_with_teacher_best,inference_time_s,training_time_s,best_epoch
6,packing_seed_64109,64109,gnn,ensemble,0.13155126350809637,0.10561517617477682,0.12017572643697158,0.16894686215059884,24.557159560477682,0.4095278206113304,9.465752700975694,-22.134532814920306,1,50,0.19047619047619047,0.004043274093419313,34.11753198504448,102.0
7,packing_seed_72869,72869,mlp,1,0.13554113913601337,0.11074757091419682,0.12669375068080369,0.17539823277284528,22.38746007442971,0.38350060941409936,6.983287184780007,-22.72377150370154,1,50,0.28205128205128205,0.00010876799933612347,3.5311000959482044,212
7,packing_seed_72869,72869,mlp,2,0.13347655266264807,0.11074757091419682,0.12669375068080369,0.17539823277284528,20.52323275429746,0.35156611077154426,5.353698935737716,-23.90085660925052,1,50,0.26582278481012656,0.00010764296166598797,3.1375590551178902,184
7,packing_seed_72869,72869,mlp,3,0.13321199920611904,0.11074757091419682,0.12669375068080369,0.17539823277284528,20.284353062088222,0.3474740651694829,5.144885592453274,-24.051686781451664,1,50,0.2345679012345679,0.0001124371774494648,3.8987182239070535,246
7,packing_seed_72869,72869,mlp,ensemble,0.133772796245104,0.11074757091419682,0.12669375068080369,0.17539823277284528,20.790727183304348,0.35614833118413064,5.587525451145159,-23.731958908417027,1,50,0.26582278481012656,0.00032884813845157623,10.567377374973148,214.0
7,packing_seed_72869,72869,gnn,1,0.13995857416888535,0.11074757091419682,0.12669375068080369,0.17539823277284528,26.376202216949896,0.4518283713561227,10.469990364008952,-20.205254091617398,1,50,0.35135135135135137,0.001335327047854662,10.514076041989028,62
7,packing_seed_72869,72869,gnn,2,0.14425001379661304,0.11074757091419682,0.12669375068080369,0.17539823277284528,30.251176261349055,0.5182072684060932,13.857244750801613,-17.758570587522204,1,50,0.3333333333333333,0.0012221781071275473,10.097153838956729,62
7,packing_seed_72869,72869,gnn,3,0.14106217436520987,0.11074757091419682,0.12669375068080369,0.17539823277284528,27.372702805824712,0.46889857859912704,11.341067422186013,-19.576057218377642,1,50,0.3333333333333333,0.0014485560823231936,7.452181013068184,58
7,packing_seed_72869,72869,gnn,ensemble,0.14043504218736977,0.11074757091419682,0.12669375068080369,0.17539823277284528,26.806431082965897,0.45919825752258087,10.846068912417262,-19.933604821865924,1,50,0.35135135135135137,0.004006061237305403,28.06341089401394,60.666666666666664
8,packing_seed_81647,81647,mlp,1,0.13519839218731203,0.1147210385116395,0.1246714526770029,0.17497914338563886,17.84969343142313,0.33982737622583703,8.443744966686296,-22.734567348208756,1,50,0.2345679012345679,0.00011485698632895947,3.6875819249544293,227
8,packing_seed_81647,81647,mlp,2,0.1351624632381272,0.1147210385116395,0.1246714526770029,0.17497914338563886,17.818374895912157,0.33923112532714117,8.414926060342198,-22.755100623483536,1,50,0.21951219512195122,0.00010677403770387173,4.792008616961539,400
8,packing_seed_81647,81647,mlp,3,0.13452778756244785,0.1147210385116395,0.1246714526770029,0.17497914338563886,17.26514099573704,0.3286985060719146,7.905847468530425,-23.117815666773346,1,50,0.2345679012345679,0.00012619700282812119,3.2058960360009223,178
8,packing_seed_81647,81647,mlp,ensemble,0.13487174698479348,0.1147210385116395,0.1246714526770029,0.17497914338563886,17.564963440519676,0.3344066082942606,8.181740156840366,-22.921243997893026,1,50,0.2345679012345679,0.0003478280268609524,11.68548657791689,268.3333333333333
8,packing_seed_81647,81647,gnn,1,0.1417412017495074,0.1147210385116395,0.1246714526770029,0.17497914338563886,23.55292768303039,0.4484071195794739,13.691786456301735,-18.99537338737446,1,50,0.17647058823529413,0.0013784379698336124,13.681879914132878,103
8,packing_seed_81647,81647,gnn,2,0.14020749791787698,0.1147210385116395,0.1246714526770029,0.17497914338563886,22.21602919298158,0.42295487817829763,12.461589968895815,-19.871880039513158,1,50,0.19047619047619047,0.0013369328808039427,10.082630222896114,99
8,packing_seed_81647,81647,gnn,3,0.1440334875765175,0.1147210385116395,0.1246714526770029,0.17497914338563886,25.551066696370572,0.4864482400528655,15.530447816050952,-17.685339641262175,1,50,0.19047619047619047,0.0013058818876743317,15.498496067011729,131
8,packing_seed_81647,81647,gnn,ensemble,0.13978476679638407,0.1147210385116395,0.1246714526770029,0.17497914338563886,21.84754305741543,0.415939537712864,12.122513851295658,-20.113469473152822,1,50,0.16279069767441862,0.004021252738311887,39.26300620404072,111.0
9,packing_seed_90439,90439,mlp,1,0.13736160825692703,0.11402077433575278,0.12368911851993511,0.17333630015570636,20.470685326555802,0.3935029420800053,11.053914766793582,-20.754274705565777,1,50,0.17647058823529413,0.00010877102613449097,4.158247700892389,271
9,packing_seed_90439,90439,mlp,2,0.1363973101498335,0.11402077433575278,0.12368911851993511,0.17333630015570636,19.624963910689953,0.37724584760493374,10.274300425101824,-21.310591014513935,1,50,0.19047619047619047,0.00011165114119648933,2.6751925740391016,162
9,packing_seed_90439,90439,mlp,3,0.13710182473034238,0.11402077433575278,0.12368911851993511,0.17333630015570636,20.242846559367923,0.3891232535752924,10.843885356209038,-20.90414725179601,1,50,0.20481927710843373,0.00011757505126297474,2.3545289451722056,126
9,packing_seed_90439,90439,mlp,ensemble,0.13831048942359012,0.11402077433575278,0.12368911851993511,0.17333630015570636,21.302885574441287,0.40950012247326895,11.821064842739947,-20.20685263309122,1,50,0.19047619047619047,0.00033799721859395504,9.187969220103696,186.33333333333334
9,packing_seed_90439,90439,gnn,1,0.14523121938354153,0.11402077433575278,0.12368911851993511,0.17333630015570636,27.372595239429344,0.5261766563871484,17.416326610925314,-16.21419214954877,1,50,0.2345679012345679,0.0013363531325012445,9.648756196955219,34
9,packing_seed_90439,90439,gnn,2,0.15387876678234863,0.11402077433575278,0.12368911851993511,0.17333630015570636,34.95678105923705,0.6719655924079785,24.40768324947502,-11.225307887545322,1,50,0.2345679012345679,0.001340375980362296,8.395102890906855,66
9,packing_seed_90439,90439,gnn,3,0.1592115442921737,0.11402077433575278,0.12368911851993511,0.17333630015570636,39.63380376925816,0.7618708480068617,28.71911951293711,-8.1487581371268,1,50,0.21951219512195122,0.001436720136553049,11.244165500160307,100
9,packing_seed_90439,90439,gnn,ensemble,0.1532022577597695,0.11402077433575278,0.12368911851993511,0.17333630015570636,34.36346021352254,0.6605603319263872,23.86074021141782,-11.615594874155411,1,50,0.2345679012345679,0.00411344924941659,29.28802458802238,66.66666666666667
10,packing_seed_99223,99223,mlp,1,0.12574112846684032,0.10773800078315171,0.1205793320704617,0.16628314269791683,16.710100013758545,0.3075084814022496,4.280830145387005,-24.381313447225583,1,50,0.21951219512195122,0.00011188606731593609,1.912380503024906,84
10,packing_seed_99223,99223,mlp,2,0.12665953031278013,0.10773800078315171,0.1205793320704617,0.16628314269791683,17.562540043519537,0.32319555322243393,5.042487910586035,-23.829001390189084,1,50,0.2345679012345679,0.00011388305574655533,3.734688258031383,233
10,packing_seed_99223,99223,mlp,3,0.12537307139887519,0.10773800078315171,0.1205793320704617,0.16628314269791683,16.368477684320727,0.30122175878227564,3.9755895526210283,-24.60265703142388,1,50,0.25,0.00011688610538840294,4.081593351904303,259
10,packing_seed_99223,99223,mlp,ensemble,0.12686451215006808,0.10773800078315171,0.1205793320704617,0.16628314269791683,17.752799595207836,0.3266968144814191,5.212485400013311,-23.705728619442656,1,50,0.25,0.00034265522845089436,9.728662112960592,192.0
10,packing_seed_99223,99223,gnn,1,0.13429027290053064,0.10773800078315171,0.1205793320704617,0.16628314269791683,24.64522445596673,0.4535350201394324,11.370888024207005,-19.239995875894035,1,50,0.21951219512195122,0.0013259989209473133,7.292932508978993,40
10,packing_seed_99223,99223,gnn,2,0.13697354850866833,0.10773800078315171,0.1205793320704617,0.16628314269791683,27.13578079507908,0.49936761222784565,13.596207705501717,-17.626317204320973,1,50,0.20481927710843373,0.0013231709599494934,9.272436376893893,78
10,packing_seed_99223,99223,gnn,3,0.1365021694272039,0.10773800078315171,0.1205793320704617,0.16628314269791683,26.698257286161176,0.49131606318299553,13.20527911652183,-17.909796980933557,1,50,0.25,0.001333185937255621,9.636733840918168,73
10,packing_seed_99223,99223,gnn,ensemble,0.1376283834674553,0.10773800078315171,0.1205793320704617,0.16628314269791683,27.74358394162619,0.5105527411278715,14.13928166978966,-17.23251002208808,1,50,0.2345679012345679,0.003982355818152428,26.202102726791054,63.666666666666664
