fold,test_case,test_seed,model,repeat,effective_conductivity_W_mK,random_mean_k_eff_W_mK,heat_path_k_eff_W_mK,teacher_best_k_eff_W_mK,improvement_vs_random_percent,recovered_optimizer_gain_fraction,difference_vs_heat_path_percent,difference_vs_teacher_percent,outperforms_heat_path,selected_count,jaccard_with_teacher_best,inference_time_s,training_time_s,best_epoch
3,packing_seed_37811,37811,gnn,1,0.14513950003493212,0.11316568628849416,0.12509606566159645,0.18101715679338773,28.253982982904247,0.4712324362097937,16.02243385300075,-19.820031092083845,1,50,0.19047619047619047,0.0013453729916363955,20.20117142307572,206
3,packing_seed_37811,37811,gnn,2,0.15021643411181299,0.11316568628849416,0.12509606566159645,0.18101715679338773,32.740266982400534,0.5460566668285644,20.080862109741226,-17.015360989638438,1,50,0.20481927710843373,0.0011747770477086306,15.947970609879121,167
3,packing_seed_37811,37811,gnn,3,0.14619522205278604,0.11316568628849416,0.12509606566159645,0.18101715679338773,29.186882391266057,0.48679174553644683,16.86636288647636,-19.236814541478687,1,50,0.19047619047619047,0.0011663211043924093,15.106610103975981,127
3,packing_seed_37811,37811,gnn,ensemble,0.14795157516849256,0.11316568628849416,0.12509606566159645,0.18101715679338773,30.73890153532799,0.512677007899034,18.27036636685575,-18.26654567480369,1,50,0.20481927710843373,0.0036864711437374353,51.25575213693082,166.66666666666666
4,packing_seed_46549,46549,mlp,1,0.12972776996815985,0.1121647598751567,0.12153241233901685,0.16918459118522747,15.658224662141107,0.3080158199258158,6.743351400186071,-23.32175816996792,1,50,0.19047619047619047,0.00011019408702850342,3.8591035318095237,243
4,packing_seed_46549,46549,mlp,2,0.12911761747661096,0.1121647598751567,0.12153241233901685,0.16918459118522747,15.114245882863187,0.29731511321500653,6.241302210339605,-23.682401232834604,1,50,0.20481927710843373,0.00011039199307560921,3.2111424210015684,211
4,packing_seed_46549,46549,mlp,3,0.12934021813606034,0.1121647598751567,0.12153241233901685,0.16918459118522747,15.312704525040232,0.3012190297004637,6.424463767956379,-23.550828577257676,1,50,0.20481927710843373,0.0001075640320777893,4.865100831026211,325
4,packing_seed_46549,46549,mlp,ensemble,0.12938588336095952,0.1121647598751567,0.12153241233901685,0.16918459118522747,15.353417156128657,0.3020198953615853,6.462038291509642,-23.52383721558622,1,50,0.20481927710843373,0.00032815011218190193,11.935346783837304,259.6666666666667
4,packing_seed_46549,46549,gnn,1,0.13848159551512706,0.1121647598751567,0.12153241233901685,0.16918459118522747,23.46265945673305,0.4615382935256478,13.946224591370871,-18.1476312086164,1,50,0.26582278481012656,0.0012988380622118711,8.557362972991541,58
4,packing_seed_46549,46549,gnn,2,0.13836945289964522,0.1121647598751567,0.12153241233901685,0.16918459118522747,23.362679199469838,0.4595715634791835,13.853950758141087,-18.213915386564416,1,50,0.26582278481012656,0.0011550630442798138,6.92694769683294,66
