case,method,overlap_floor_ratio,effective_conductivity_W_mK,change_vs_nominal_percent,energy_balance_error
packing_seed_144359,swap_optimized,1e-10,0.33854033659033156,0.0,8.881007943907452e-13
packing_seed_144359,mlp,1e-10,0.2708661182785491,0.0,1.8135208602554052e-12
packing_seed_144359,gnn,1e-10,0.288242957403472,0.0,2.6068950382758095e-12
packing_seed_144359,random_near_mean,1e-08,0.22530765284486137,0.0,3.619098203950748e-14
packing_seed_144359,degree,1e-08,0.22821420070428072,0.0,7.882865412147854e-13
packing_seed_144359,heat_path,1e-08,0.2398117749422041,0.0,3.0825437999048487e-13
packing_seed_144359,swap_optimized,1e-08,0.33854033659033156,0.0,8.881007943907452e-13
packing_seed_144359,mlp,1e-08,0.2708661182785491,0.0,1.8135208602554052e-12
packing_seed_144359,gnn,1e-08,0.288242957403472,0.0,2.6068950382758095e-12
packing_seed_144359,random_near_mean,1e-06,0.22530802890855436,0.0001669111937552259,2.209148956826845e-12
packing_seed_144359,degree,1e-06,0.22821466611598104,0.00020393634527771098,9.450517616929766e-13
packing_seed_144359,heat_path,1e-06,0.2398121834033503,0.0001703257257901214,1.362787939672614e-12
packing_seed_144359,swap_optimized,1e-06,0.33854063028203424,8.675235148025706e-05,9.934452219791662e-14
packing_seed_144359,mlp,1e-06,0.2708662259093627,3.973579798532967e-05,1.0433209488007628e-12
packing_seed_144359,gnn,1e-06,0.28824305344885515,3.3320981729367816e-05,1.7646848937391943e-12
packing_seed_153371,random_near_mean,1e-10,0.23951016083041196,0.0,1.8942642822455315e-13
packing_seed_153371,degree,1e-10,0.23860868501249696,0.0,1.9665753201226253e-12
packing_seed_153371,heat_path,1e-10,0.2579835076708057,0.0,1.348277076676506e-12
packing_seed_153371,swap_optimized,1e-10,0.3573692903904852,0.0,8.604151369147267e-13
packing_seed_153371,mlp,1e-10,0.27653084684063084,0.0,3.6690579216740906e-13
packing_seed_153371,gnn,1e-10,0.30967033988575626,0.0,8.808774640063072e-13
packing_seed_153371,random_near_mean,1e-08,0.23951016083041196,0.0,1.8942642822455315e-13
packing_seed_153371,degree,1e-08,0.23860868501249696,0.0,1.9665753201226253e-12
packing_seed_153371,heat_path,1e-08,0.2579835076708057,0.0,1.348277076676506e-12
packing_seed_153371,swap_optimized,1e-08,0.3573692903904852,0.0,8.604151369147267e-13
packing_seed_153371,mlp,1e-08,0.27653084684063084,0.0,3.6690579216740906e-13
packing_seed_153371,gnn,1e-08,0.30967033988575626,0.0,8.808774640063072e-13
packing_seed_153371,random_near_mean,1e-06,0.23951016083041196,0.0,1.6751516227320924e-13
packing_seed_153371,degree,1e-06,0.23860868501249696,0.0,1.9665753201226253e-12
packing_seed_153371,heat_path,1e-06,0.2579835076708057,0.0,1.348277076676506e-12
packing_seed_153371,swap_optimized,1e-06,0.3573692903904852,0.0,8.604151369147267e-13
packing_seed_153371,mlp,1e-06,0.27653084684063084,0.0,3.6690579216740906e-13
packing_seed_153371,gnn,1e-06,0.30967033988575626,0.0,8.808774640063072e-13
packing_seed_162389,random_near_mean,1e-10,0.23362604379512078,0.0,8.96954963649999e-13
packing_seed_162389,degree,1e-10,0.23409641711101317,0.0,1.9404818170263388e-14
packing_seed_162389,heat_path,1e-10,0.24980016250907847,0.0,6.103811205170875e-13
packing_seed_162389,swap_optimized,1e-10,0.3561051579934258,0.0,2.1890196065228923e-12
packing_seed_162389,mlp,1e-10,0.273631426103909,0.0,3.7079355563574666e-13
packing_seed_162389,gnn,1e-10,0.3017291728017201,0.0,4.957935695115177e-13
packing_seed_162389,random_near_mean,1e-08,0.23362604379512078,0.0,8.96954963649999e-13
packing_seed_162389,degree,1e-08,0.23409641711101317,0.0,1.9404818170263388e-14
packing_seed_162389,heat_path,1e-08,0.24980016250907847,0.0,6.103811205170875e-13
packing_seed_162389,swap_optimized,1e-08,0.3561051579934258,0.0,2.1890196065228923e-12
packing_seed_162389,mlp,1e-08,0.273631426103909,0.0,3.7079355563574666e-13
packing_seed_162389,gnn,1e-08,0.3017291728017201,0.0,4.957935695115177e-13
packing_seed_162389,random_near_mean,1e-06,0.23362604379512078,0.0,8.96954963649999e-13
packing_seed_162389,degree,1e-06,0.23409641711101317,0.0,1.9404818170263388e-14
packing_seed_162389,heat_path,1e-06,0.24980016250907847,0.0,6.103811205170875e-13
packing_seed_162389,swap_optimized,1e-06,0.3561051579934258,0.0,2.1890196065228923e-12
packing_seed_162389,mlp,1e-06,0.273631426103909,0.0,3.7079355563574666e-13
packing_seed_162389,gnn,1e-06,0.3017291728017201,0.0,4.957935695115177e-13
