seed,homogeneous,random,random_sample_sd,degree,heat_path,mlp,gnn,swap_optimized,search_restart_mean,teacher_actual_solves,teacher_unique_allocations,max_energy_imbalance,random_gain_percent,random_recovery_percent,degree_gain_percent,degree_recovery_percent,heat_path_gain_percent,heat_path_recovery_percent,mlp_gain_percent,mlp_recovery_percent,gnn_gain_percent,gnn_recovery_percent,swap_optimized_gain_percent,swap_optimized_recovery_percent
198439,0.19389654234441916,0.23055415916999508,0.0047260188646224095,0.23287297211665312,0.24433592562059028,0.2629063146938195,0.3267722074345969,0.35313995958782074,0.3429654450277442,14954,14781,5.67696535937592e-12,0.0,0.0,1.0057562852068491,1.8915836408087325,5.977669845649358,11.242547182154013,14.032345215672336,26.391438007953774,41.733382130685,78.49036995855059,53.170066790007084,100.0
207457,0.20027354150106957,0.23734214129182787,0.0045788313391158615,0.23876309547740596,0.2507630067781787,0.2781874230887165,0.29984365182021433,0.3508911358444097,0.3446970452188143,14958,14786,6.7936712966333996e-12,0.0,0.0,0.5986944323683963,1.2514018210175109,5.654649196852479,11.819448986962138,17.209451964397115,35.971504598373336,26.333928811882057,55.04364946132879,47.84190196251992,100.0
216481,0.19254782463454354,0.22924737470196443,0.004508716048648136,0.23411424476067477,0.24775793300558643,0.28450667330036283,0.29883777269428813,0.34494269313755677,0.3382573657640835,14964,14797,6.000842935397266e-12,0.0,0.0,2.122977445232488,4.206626615941878,8.07449085412073,15.999401318841471,24.10465928791501,47.762778430106735,30.356028322154383,60.149709541674085,50.46745620795148,100.0
225503,0.19566192688962591,0.2319497081722993,0.004404304797883565,0.23535496119252322,0.24396615350815767,0.26194271974255856,0.28948991697505616,0.35818308243356034,0.3351358698662831,14966,14844,7.623388478064133e-12,0.0,0.0,1.4680997217269232,2.6975853574001682,5.180625330613564,9.519230081728104,12.930825309760486,23.75996977485821,24.807191721066644,45.582405714409404,54.422734676385566,100.0
234529,0.18523103669641952,0.21922682520503314,0.004756980210614254,0.2205959479452762,0.23379285319374993,0.25128842475584395,0.2910421003390246,0.3364391955679033,0.32848187217507246,14965,14849,9.013072105491417e-12,0.0,0.0,0.6245233624865953,1.1680701755322271,6.644272650070904,12.427039862450323,14.62485237416773,27.35342647841127,32.758434131783744,61.269365094881394,53.46625361802626,100.0
243551,0.19235985293715305,0.22893875376487893,0.005020032294304989,0.2261792056513679,0.24514916552282606,0.26573466147940317,0.311780125137083,0.34685907086762024,0.3417022834570181,14968,14883,7.328624916137538e-12,0.0,0.0,-1.2053652202305143,-2.340180370365441,7.0806761596139856,13.746920086572837,16.072380542576802,31.20404406855927,36.184949035444866,70.25199169030917,51.50736394059607,100.0
252563,0.19491390853132132,0.23133477295611363,0.004723241691928144,0.22866615646146293,0.24040611573360787,0.26727861306893946,0.3066043225737329,0.33872502112246455,0.33428101799365406,14980,14902,6.720683214388949e-12,0.0,0.0,-1.153573438419897,-2.484970972892177,3.921305328021374,8.447082423575784,15.537586353109445,33.47030175137288,32.53706680400295,70.08974362460204,46.42200858697705,100.0
261581,0.1762105041571335,0.20898230659451122,0.004050769942223992,0.21566887444275928,0.22217858279744032,0.23680620933389757,0.259070676054318,0.3125722536613636,0.3046251386981662,14973,14885,8.613374791393481e-12,0.0,0.0,3.1995856286637814,6.454842422047811,6.314542325601691,12.73895448021882,13.313999253234932,26.859655330676077,23.9677560631931,48.35253890754665,49.56876433938886,100.0
270593,0.18264255738635965,0.21712387521141452,0.0048717583431262135,0.22125778756632533,0.2320367419555039,0.26214233693136246,0.28221873472039916,0.3306428045713576,0.32463069932112054,14970,14886,6.853449720097664e-12,0.0,0.0,1.9039418630887983,3.6416061869321403,6.868367990193902,13.136898690088959,20.733998818008036,39.657228951838064,29.98051662701833,57.34273559133335,52.28302472466888,100.0
279607,0.1891828029411956,0.22421418313313388,0.003529663589168502,0.22448469142649558,0.2425374430976434,0.26449606735974485,0.2907286687420321,0.3411962206774092,0.33214513459223627,14959,14847,7.575386821951825e-12,0.0,0.0,0.12064727109661888,0.2312391705943033,8.172212706824865,15.663310666455574,17.965805580948647,34.4342474043206,29.665601292226597,56.85871694936402,52.17423621895219,100.0
