method,effective_conductivity_W_mK,high_count,high_high_contact_count,high_cluster_count,largest_high_cluster_size,largest_high_cluster_fraction,spanning_high_cluster_count,largest_high_cluster_vertical_extent_ratio,high_particles_linked_to_hot_wall,high_particles_linked_to_cold_wall,high_incident_contact_heat_fraction,high_high_contact_heat_fraction,mean_vertical_alignment_high_high,heat_weighted_vertical_alignment_high_high,minimum_series_path_resistance_K_W,minimum_series_path_conductance_W_K,minimum_resistance_path_particle_count,minimum_resistance_path_high_count,minimum_resistance_path_high_fraction,minimum_resistance_path_atom_ids,relative_energy_balance_error,case
gnn,0.3016549977840959,50,54,14,26,0.52,0,0.8875684831949165,4,5,0.4575872046229676,0.23217097276346643,0.6090862261472267,0.7612711522451947,2876.9805991179283,0.0003475866331203611,7,6,0.8571428571428571,425 396 420 473 500 495 433,2.8572663415029664e-12,packing_seed_81647
random_near_mean,0.23831927990218782,50,13,37,7,0.14,0,0.337578882040947,7,2,0.29044677730271584,0.03434548585780706,0.5498509521301721,0.7483037757154559,9403.014339668025,0.0001063488753581232,9,4,0.4444444444444444,245 295 423 484 490 492 460 497 499,2.0699511110054804e-12,packing_seed_90439
degree,0.2351648506694014,50,39,17,22,0.44,0,0.5615049096406717,0,0,0.3525685441847554,0.07909088192084866,0.4850011215574415,0.5976608080762933,10762.1213598354,9.291848387177957e-05,9,4,0.4444444444444444,149 172 167 425 383 477 101 441 194,5.433859180311705e-13,packing_seed_90439
heat_path,0.2493493020376197,50,22,29,6,0.12,0,0.27356077341640767,0,0,0.41032141055047416,0.06261229680854853,0.5619466038994531,0.6553041120351835,9339.468595592984,0.00010707247310322026,10,5,0.5,410 411 412 419 498 438 478 449 459 432,2.0457130528268016e-12,packing_seed_90439
swap_optimized,0.34575586233233463,50,57,5,23,0.46,2,1.0162217801073044,7,4,0.48165630543500176,0.3470070544010624,0.6442283370043153,0.7338491388599973,1910.8672174172473,0.0005233225997521758,9,9,1.0,150 152 136 376 454 486 456 487 455,1.5104812365341167e-12,packing_seed_90439
mlp,0.285383830953973,50,19,33,5,0.1,0,0.34189861081530165,7,9,0.37990481126006653,0.09172872226696568,0.6768096058757289,0.7345969282145455,7608.981946023801,0.00013142362632658977,9,6,0.6666666666666666,308 253 282 273 339 371 366 459 432,9.833260843458882e-13,packing_seed_90439
gnn,0.3093127260314777,50,40,16,9,0.18,0,0.6763460340037903,11,10,0.384060397268983,0.18048074722018892,0.6653547954994509,0.7895079671592597,3685.563094395243,0.0002713289596156237,9,8,0.8888888888888888,308 253 282 273 339 371 366 459 432,5.022464629220389e-13,packing_seed_90439
random_near_mean,0.2152139774964773,50,17,33,6,0.12,0,0.41707833186421345,2,2,0.3129329928431087,0.03828478718374096,0.37730629632721274,0.5496064781372012,11573.400047929186,8.640503187124589e-05,9,3,0.3333333333333333,397 420 405 447 207 251 474 353 487,1.41065322370339e-12,packing_seed_99223
degree,0.21891713831697857,50,41,16,18,0.36,0,0.726350426836278,0,0,0.38724327721675705,0.09177717529122632,0.4505480208912742,0.5244884892226244,9654.391084503968,0.00010357981060090636,13,10,0.7692307692307693,392 441 275 405 447 105 124 131 111 239 195 219 243,2.1716938984291037e-13,packing_seed_99223
heat_path,0.2308471363983339,50,25,27,6,0.12,0,0.33683604324985383,0,0,0.4295252290765525,0.08914605969463642,0.6573082700304748,0.7422896804147542,10267.445432095916,9.739520960822558e-05,8,3,0.375,442 421 443 418 460 477 452 464,1.2598776933491193e-12,packing_seed_99223
swap_optimized,0.3276790101517193,50,69,3,34,0.68,2,1.0126746990858106,5,5,0.5108326340085582,0.3883616305278463,0.620003886721504,0.7617456941508746,1585.8107327813163,0.0006305922764478478,8,8,1.0,442 421 443 418 460 477 452 464,1.7320940596939292e-12,packing_seed_99223
