method,effective_conductivity_W_mK,high_count,high_high_contact_count,high_cluster_count,largest_high_cluster_size,largest_high_cluster_fraction,spanning_high_cluster_count,largest_high_cluster_vertical_extent_ratio,high_particles_linked_to_hot_wall,high_particles_linked_to_cold_wall,high_incident_contact_heat_fraction,high_high_contact_heat_fraction,mean_vertical_alignment_high_high,heat_weighted_vertical_alignment_high_high,minimum_series_path_resistance_K_W,minimum_series_path_conductance_W_K,minimum_resistance_path_particle_count,minimum_resistance_path_high_count,minimum_resistance_path_high_fraction,minimum_resistance_path_atom_ids,relative_energy_balance_error,case
mlp,0.23903662030150544,50,16,34,6,0.12,0,0.33683604324985383,1,9,0.41667810388619075,0.0652834800927497,0.669371630852271,0.7402362211473593,9116.95635794081,0.00010968572851936562,11,7,0.6363636363636364,442 421 440 437 396 278 366 107 323 484 462,1.9997638163550293e-12,packing_seed_99223
gnn,0.262636290645361,50,46,14,15,0.3,0,0.59543136945891,2,8,0.42463866614163376,0.180645987671855,0.6838185474779742,0.7601488489024352,8173.526815757686,0.0001223462065447815,11,8,0.7272727272727273,413 384 177 148 292 70 91 211 466 482 483,2.557252865767092e-12,packing_seed_99223
random_near_mean,0.2325897234457322,50,9,41,3,0.06,0,0.21740530333296412,4,2,0.3130880747487053,0.01631460592657828,0.5759773311079113,0.7136180934414802,8481.187024459858,0.00011790802361933377,8,3,0.375,405 409 432 134 460 459 484 439,3.2076150828948493e-12,packing_seed_108301
degree,0.22954296714079495,50,30,21,7,0.14,0,0.39950031593635543,0,0,0.3550451869436777,0.05903989383359787,0.41370551916409776,0.6024560550530957,9288.244565099056,0.00010766297043442841,10,5,0.5,422 414 426 404 418 396 447 458 461 468,8.124860941631433e-13,packing_seed_108301
heat_path,0.24883877867165186,50,26,28,7,0.14,0,0.43885679085670437,0,0,0.43735866880869917,0.08305006935276857,0.5869790465322566,0.7054903734499436,7265.842063806875,0.0001376302968352795,10,7,0.7,307 240 260 255 245 440 444 115 87 113,9.717201961860255e-14,packing_seed_108301
swap_optimized,0.3606491252962163,50,61,4,39,0.78,1,1.0172996423899285,6,5,0.5111648453391613,0.3919083599269782,0.6756579108124143,0.7892580362466207,1496.5551547375107,0.000668201233235133,8,8,1.0,376 284 136 427 466 479 480 437,2.4665504739243915e-12,packing_seed_108301
mlp,0.27439892834999735,50,17,34,5,0.1,0,0.30531518136927016,9,6,0.42058685321031514,0.08147562977270485,0.6518483424852192,0.8136758341016016,5616.419450113805,0.00017804937983749363,10,8,0.8,307 240 260 255 245 440 444 115 87 59,2.0174141401113873e-12,packing_seed_108301
gnn,0.3161144048929665,50,46,15,13,0.26,0,0.5194963836617594,10,5,0.44255692992054435,0.24122322947987046,0.7197760809259354,0.7972049599006237,3829.4444237058638,0.0002611344856735827,12,11,0.9166666666666666,307 240 260 254 312 357 442 440 444 115 231 207,1.0544625216813324e-12,packing_seed_108301
random_near_mean,0.22687718895605574,50,13,37,4,0.08,0,0.23745128558226358,4,6,0.28979947063425004,0.0290337233472359,0.4554399133484329,0.5509210663939367,11118.00706209842,8.994417744246866e-05,10,5,0.5,136 159 163 122 139 202 240 442 478 242,9.04484696916652e-13,packing_seed_117307
degree,0.223407184574685,50,30,25,7,0.14,0,0.36402595312899316,0,0,0.3576535333931694,0.050254593068806835,0.48422321811815977,0.6145372626891719,11244.767395470966,8.893025216357682e-05,10,5,0.5,434 415 428 277 269 305 318 307 344 334,5.060584433704763e-13,packing_seed_117307
