proposal,best_k_eff_W_mK,accepted_swaps
291,0.16075442285100483,19
292,0.16075442285100483,19
293,0.1611413390130282,20
294,0.1611413390130282,20
295,0.16219005532037323,21
296,0.16219005532037323,21
297,0.16219005532037323,21
298,0.16219005532037323,21
299,0.16219005532037323,21
300,0.16219005532037323,21
301,0.16219005532037323,21
302,0.16219005532037323,21
303,0.16219005532037323,21
304,0.16219005532037323,21
305,0.16219005532037323,21
306,0.16219005532037323,21
307,0.16219005532037323,21
308,0.16219005532037323,21
309,0.16219005532037323,21
310,0.16219005532037323,21
311,0.16219005532037323,21
312,0.16219005532037323,21
313,0.16219005532037323,21
314,0.16225576296180488,22
315,0.16225576296180488,22
316,0.16225576296180488,22
317,0.16225576296180488,22
318,0.16225576296180488,22
319,0.16225576296180488,22
320,0.16225576296180488,22
321,0.16225576296180488,22
322,0.16225576296180488,22
323,0.16225576296180488,22
324,0.16225576296180488,22
325,0.16225576296180488,22
326,0.16225576296180488,22
327,0.16225576296180488,22
328,0.16225576296180488,22
329,0.16225576296180488,22
330,0.16225576296180488,22
331,0.16225576296180488,22
332,0.16225576296180488,22
333,0.16225576296180488,22
334,0.16225576296180488,22
335,0.16225576296180488,22
336,0.16225576296180488,22
337,0.16225576296180488,22
338,0.16225576296180488,22
339,0.16225576296180488,22
340,0.16225576296180488,22
341,0.16225576296180488,22
342,0.16225576296180488,22
343,0.16225576296180488,22
344,0.16235825749749594,23
345,0.16235825749749594,23
346,0.16235825749749594,23
347,0.16235825749749594,23
348,0.16235825749749594,23
349,0.16235825749749594,23
350,0.16235825749749594,23
351,0.16235825749749594,23
352,0.16235825749749594,23
353,0.16235825749749594,23
354,0.16272894060596646,24
355,0.1631278702364388,25
356,0.1631278702364388,25
357,0.1631278702364388,25
358,0.1631278702364388,25
359,0.1631278702364388,25
360,0.1631278702364388,25
361,0.1631278702364388,25
362,0.1631278702364388,25
363,0.1631278702364388,25
364,0.16316245750527217,26
365,0.16316245750527217,26
366,0.16316245750527217,26
367,0.16316245750527217,26
368,0.16316245750527217,26
369,0.16316245750527217,26
370,0.16469601604089712,27
371,0.16469601604089712,27
372,0.16469601604089712,27
373,0.16469601604089712,27
374,0.16469601604089712,27
375,0.16469601604089712,27
376,0.16469601604089712,27
377,0.16469601604089712,27
378,0.16469601604089712,27
379,0.16469601604089712,27
380,0.16469601604089712,27
381,0.16469601604089712,27
382,0.16469601604089712,27
383,0.16469601604089712,27
384,0.16469601604089712,27
385,0.16469601604089712,27
386,0.16536563783255567,28
387,0.16536563783255567,28
388,0.16536563783255567,28
389,0.16536563783255567,28
390,0.16536563783255567,28
391,0.16536563783255567,28
392,0.16536563783255567,28
393,0.16536563783255567,28
394,0.16536563783255567,28
395,0.16729894429585115,29
396,0.16729894429585115,29
397,0.16729894429585115,29
398,0.16729894429585115,29
399,0.16729894429585115,29
400,0.16729894429585115,29
