method,replicate,high_count,effective_conductivity_W_mK,improvement_vs_homogeneous_percent,improvement_vs_random_mean_percent,heat_rate_hot_W,relative_energy_balance_error,thermally_solved_particles
random,66,50,0.1086975673119083,15.72725950202245,-2.020373731552616,0.0016707505804169315,3.006368445155587e-12,497
random,67,50,0.11126995403942845,18.466007697748353,0.29836712358635165,0.0017102897966509846,1.413534717296864e-12,497
random,68,50,0.11075203639708893,17.914595270792088,-0.16848211958619963,0.0017023290738588737,6.94213819264823e-14,497
random,69,50,0.10942218365015761,16.49873824887751,-1.3672069701847978,0.0016818883933197321,8.096601023293459e-13,497
random,70,50,0.11205107101119752,19.2976410887143,1.0024633684108553,0.0017222960601417931,1.142686108992006e-12,497
random,71,50,0.11040654867799427,17.546764160021212,-0.4799036024616954,0.0016970187083973542,2.075358580118818e-12,497
random,72,50,0.10815415182681355,15.148700235093138,-2.510206645524715,0.001662397939602769,3.877931970450315e-13,497
random,73,50,0.11002877096178781,17.14455479251944,-0.8204311815218857,0.0016912120251915623,3.4422148484098144e-12,497
random,74,50,0.11097792071401415,18.15508798473875,0.03512925369071329,0.0017058010591382402,2.7811185838464868e-12,497
random,75,50,0.10963091456778434,16.720968218394372,-1.1790576140814468,0.0016850967199676975,9.597051263080183e-13,497
random,76,50,0.11020535360650467,17.33255739509896,-0.6612601718781752,0.0016939262124861653,1.487098616799785e-12,497
random,77,50,0.11299222140361045,20.299657586292994,1.8508132072477812,0.0017367621388523816,5.32374348801793e-13,497
random,78,50,0.11085076439080727,18.019708204151218,-0.07948903385320838,0.0017038465857672587,9.48253258792552e-13,497
random,79,50,0.10902766649551153,16.07870686949331,-1.7228234234748285,0.0016758244143236065,2.347453067888503e-12,497
random,80,50,0.10928340410333073,16.35098354721871,-1.4923023929074075,0.001679755263626538,4.789257276964047e-14,497
random,81,50,0.11341736275072863,20.75229368680298,2.2340342059512075,0.0017432968311184808,1.1300401126423395e-12,497
random,82,50,0.11373357524848803,21.088956288284912,2.5190671015170585,0.0017481572178523496,2.9902186720045437e-12,497
random,83,50,0.11367147510606566,21.022840003671096,2.4630902393274923,0.0017472026992595056,1.5199408760137003e-12,497
random,84,50,0.11303168950933096,20.341678174478407,1.8863896266990254,0.0017373687886806273,8.998777593508926e-13,497
random,85,50,0.10845968313799464,15.473990875992083,-2.2348017360759864,0.0016670941497214974,1.0912948412269366e-13,497
random,86,50,0.10854466721889522,15.564471049809603,-2.158197367723269,0.0016684004089690793,2.073006522675901e-13,497
random,87,50,0.10819560549837731,15.192834799692957,-2.4728404436149876,0.0016630351088379076,2.580255423020235e-12,497
random,88,50,0.1092176210939237,16.28094621714098,-1.5515989791688,0.001678744137031285,3.1550635598203546e-12,497
random,89,50,0.10922304500913683,16.28672090795431,-1.5467098800046153,0.001678827506049696,9.738802052124487e-14,497
random,90,50,0.11126027007205835,18.455697448562812,0.2896380275524413,0.0017101409479278304,8.552445530609078e-13,497
random,91,50,0.10864048172927969,15.666482078957156,-2.0718304861938486,0.0016698731387899581,6.97318320895452e-13,497
random,92,50,0.11195330046303378,19.193547520856136,0.9143333209218119,0.0017207932647791014,4.1470517379161807e-13,497
random,93,50,0.11187967384190801,19.115159316777675,0.8479665291001304,0.001719661576894799,4.652899233458968e-14,497
random,94,50,0.11506313238484672,22.504498581891454,3.717525489727014,0.001768593354669419,1.5350290855362592e-13,497
random,95,50,0.11254314882713397,19.821542575273398,1.4460206778591722,0.0017298596084061898,6.28010834839206e-13,497
random,96,50,0.1081991490750417,15.196607546648998,-2.469646275375381,0.0016630895758597115,9.1985981247356e-13,497
random,97,50,0.1070491344199296,13.972219110784657,-3.506265667121211,0.001645413120902784,7.762124556817565e-13,497
random,98,50,0.10963310992573737,16.72330555459989,-1.1770787257117887,0.0016851304640124352,2.643833022025622e-12,497
random,99,50,0.11268276207925564,19.970184899639708,1.5718675997663745,0.0017320055526787682,5.306188609543761e-12,497
random,100,50,0.10916858347086686,16.22873723151963,-1.5958013297735385,0.0016779903976495252,3.205586769548703e-12,497
degree,1,50,0.12036759882647928,28.152015629343595,8.498953927893549,0.0018501263696699194,9.90717295235898e-13,497
heat_path,1,50,0.13735857264506576,46.241830193944345,23.81456131315374,0.002111288418382506,3.608652157671388e-12,497
swap_optimized,1,50,0.16729894429585115,78.11850641867379,50.802712908713744,0.002571490928434155,4.017233032096384e-13,497
