method,replicate,high_count,high_type_counts,high_particle_volume_m3,effective_conductivity_W_mK,improvement_vs_homogeneous_percent,improvement_vs_random_mean_percent,heat_rate_hot_W,relative_energy_balance_error,thermally_solved_particles
random,41,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11316725154995119,20.486007287276898,1.7406994534181042,0.0017394524632618517,1.0633512242074036e-13,497
random,42,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11038467524048264,17.523476122931612,-0.760918780924924,0.0016966824997836564,1.929180243884633e-12,497
random,43,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1096354784532339,16.72582725957461,-1.4344688063869793,0.001685166869782936,1.779974306508545e-12,497
random,44,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11353016594103682,20.872392088269432,2.066970202995022,0.0017450306877294524,1.7732140884581214e-13,497
random,45,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11058259761441559,17.734198538307023,-0.5829807247680008,0.0016997246922568062,6.595568396790072e-13,497
random,46,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11187720276572281,19.112528431082552,0.580907518571161,0.001719623594885884,1.3946396250144217e-13,497
random,47,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1113475378015966,18.548608959208156,0.10472308192446267,0.0017114823083039955,1.826723752509795e-12,497
random,48,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11314242681780223,20.459577089338545,1.7183812864750347,0.0017390708913769212,1.9179434144787232e-12,497
random,49,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11134796224707837,18.549060854440302,0.10510467094073661,0.0017114888323003694,3.476691317358223e-12,497
random,50,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11093620792855335,18.11067754882052,-0.2650746149917227,0.0017051599071580908,1.1241581700973206e-13,497
random,51,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11032250329449907,17.457283391074597,-0.8168131954672475,0.0016957268775245158,1.2463939464862623e-12,497
random,52,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11628363295732208,23.803931402387967,4.542418323559549,0.0017873532229009778,9.846274053879265e-13,497
random,53,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11357376108618229,20.91880661989185,2.1061635252603184,0.001745700772772351,1.8885492963676553e-12,497
random,54,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10798621995019686,14.969907863336429,-2.9172008810845917,0.001659816720102955,5.211277141218531e-13,497
random,55,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11439232517369564,21.79030890754532,2.8420768011455877,0.0017582826221931112,6.870443041042995e-13,497
random,56,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11059815775464253,17.750764984368892,-0.5689916994218946,0.001699963861485322,5.865020665474269e-13,497
random,57,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11136824266468892,18.570652847800105,0.12333736498115755,0.001711800555187384,3.5354682579546167e-13,497
random,58,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10944869275056154,16.526961746582902,-1.602394666364193,0.0016822958550135078,1.7939681408217092e-12,497
random,59,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11084523163398233,18.013817632718233,-0.3468649891199771,0.001703761543784212,2.1002357185051975e-12,497
random,60,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10938283004067927,16.456839561638503,-1.661607186590175,0.0016812835033713786,2.4546170476742208e-12,497
random,61,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11310750730801815,20.422399264016388,1.6869876164747222,0.0017385341563543955,3.331431818137731e-12,497
random,62,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11306593592341416,20.378139373635218,1.6496137146706946,0.0017378951777951373,2.4467764079315266e-13,497
random,63,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11135204431088198,18.553406913591264,0.10877456678874964,0.001711551576211184,1.338631019209557e-12,497
random,64,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10982035207732799,16.92265703598739,-1.2682619614896362,0.0016880084946913634,5.084420146217625e-13,497
