atom_id_i,atom_id_j,high_endpoint_count,conductance_W_K,signed_heat_rate_i_to_j_W,absolute_heat_rate_W,vertical_alignment
63,154,0,0.00025087166789268815,1.2849061485769726e-05,1.2849061485769726e-05,0.6932298428515381
63,326,0,0.00021255098350299046,1.7061401453446835e-05,1.7061401453446835e-05,0.7804279593536824
63,413,0,0.00029835550560092033,2.2628123592547466e-05,2.2628123592547466e-05,0.5627371191980877
64,93,0,0.0002164743129835205,4.111652178643425e-06,4.111652178643425e-06,0.011519690086694689
64,106,0,7.369595275240329e-05,1.2052321219793785e-05,1.2052321219793785e-05,0.8234429273209837
64,260,0,0.00014924523550380298,1.1618896896447935e-05,1.1618896896447935e-05,0.7937388482645743
64,311,0,0.00023957089269647166,-9.958287619962322e-06,9.958287619962322e-06,0.5522869572144542
64,338,0,0.000189353145811395,2.870259688394616e-06,2.870259688394616e-06,0.24841280302033183
64,405,0,0.00015583694952984848,-2.0694842363375768e-05,2.0694842363375768e-05,0.9344255128149405
65,211,0,0.00012523476203198794,2.726948233655333e-06,2.726948233655333e-06,0.04374915316683484
65,407,0,0.00017199561751514588,-8.576392337284999e-06,8.576392337284999e-06,0.5787729839187286
65,477,0,0.00017072132719117374,1.8395221310145004e-05,1.8395221310145004e-05,0.6763829498033466
65,497,0,0.00025739898875566544,-2.9393971385932853e-05,2.9393971385932853e-05,0.8933436582521863
66,78,0,9.808104865652553e-05,-4.8079514378834624e-06,4.8079514378834624e-06,0.44367914760795923
66,200,0,8.051670754479874e-05,-4.5265844524223695e-06,4.5265844524223695e-06,0.23121690621401042
66,305,0,9.252945501498533e-05,-3.3236050896213478e-06,3.3236050896213478e-06,0.21780639064623705
66,473,0,0.0001087433883838454,1.2658140979925811e-05,1.2658140979925811e-05,0.8721255257996904
67,180,1,0.0004600158247404743,-8.95633544620801e-05,8.95633544620801e-05,0.9946612510993919
67,251,2,0.0025428291466757166,0.00013259754244120662,0.00013259754244120662,0.8978960906356896
67,340,1,0.0003472391425161118,-4.3034187979015344e-05,4.3034187979015344e-05,0.23881999027963957
68,211,0,2.414716753794879e-05,2.91389253811366e-06,2.91389253811366e-06,0.6948030300911721
68,492,0,2.4223323616498387e-05,-2.2430179954634635e-06,2.2430179954634635e-06,0.9409789468359064
69,107,0,0.000100631516258557,-2.023195925291782e-06,2.023195925291782e-06,0.34668097999444175
69,271,0,0.00017753848062681426,-1.7281235633033108e-05,1.7281235633033108e-05,0.8432205054292737
