atom_id_i,atom_id_j,high_endpoint_count,conductance_W_K,signed_heat_rate_i_to_j_W,absolute_heat_rate_W,vertical_alignment
8,383,1,0.00032455736827311426,-1.9387901161811842e-05,1.9387901161811842e-05,0.4001433971601374
9,81,1,4.0532337280303334e-05,-3.972804255119364e-06,3.972804255119364e-06,0.7309124271925651
9,124,0,2.3760914810253662e-05,3.7737836348929323e-06,3.7737836348929323e-06,0.9546043163241652
9,239,0,1.2316924470549406e-05,1.9902062022361343e-07,1.9902062022361343e-07,0.057211572499692845
10,23,1,0.0003228557347053885,1.230664047000194e-05,1.230664047000194e-05,0.9258526621916668
10,114,0,0.00023709199960089474,-1.0498137045060713e-05,1.0498137045060713e-05,0.10131345949616742
10,386,0,0.00014793958152283703,-8.334057136989222e-06,8.334057136989222e-06,0.6412321103666746
10,452,0,0.00022102601357991728,6.525553711976864e-06,6.525553711976864e-06,0.37784420931908186
11,42,0,9.332078993158548e-05,2.7757486828861097e-06,2.7757486828861097e-06,0.7539596643204913
11,271,0,8.095582440754185e-05,-1.320850833258922e-06,1.320850833258922e-06,0.04997383726884608
11,482,0,9.427384808551797e-05,-1.4548978496264378e-06,1.4548978496264378e-06,0.042220250607276286
12,273,1,0.0003886233594502915,4.802300766873322e-06,4.802300766873322e-06,0.13678963902301938
12,370,0,0.00020178630528164404,-3.908819553209363e-06,3.908819553209363e-06,0.12060481237248659
12,383,1,0.000340576698055129,-2.1486123021778576e-05,2.1486123021778576e-05,0.41609500909495556
13,263,0,0.00017872808311913816,-7.726715524656966e-06,7.726715524656966e-06,0.3777340247217331
13,346,0,1.1801631921491135e-05,7.524975878389648e-07,7.524975878389648e-07,0.5087344743768462
13,489,0,0.00018428838470083725,6.974217936813351e-06,6.974217936813351e-06,0.18939094374850945
14,233,0,0.00017659813456572714,2.3675198347386813e-06,2.3675198347386813e-06,0.4365350928514545
14,249,0,0.00015184762975861907,-7.740909063164343e-06,7.740909063164343e-06,0.46133746174132295
14,262,0,0.00019726788451938115,-1.4434308361164268e-05,1.4434308361164268e-05,0.7090830220651113
14,270,0,0.00022408343124603417,1.9807697589602994e-05,1.9807697589602994e-05,0.8002092375155467
15,49,0,0.00017665917510057005,1.046909965821854e-05,1.046909965821854e-05,0.6248687916082087
15,250,0,0.00019545559589273552,-1.0108128465226548e-05,1.0108128465226548e-05,0.8589526304351115
15,302,0,0.0001757036277308025,-9.628061352502299e-06,9.628061352502299e-06,0.5754765399456842
15,311,0,0.00015138519957292172,8.753441874260458e-06,8.753441874260458e-06,0.7441737332385341
15,405,1,0.00023839938489964515,5.989024036137847e-06,5.989024036137847e-06,0.1704304426599668
15,436,0,0.00021024113638410397,-5.475375750873721e-06,5.475375750873721e-06,0.0593376572721079
16,86,0,0.00012622116668817412,-5.565667044021451e-07,5.565667044021451e-07,0.2693145071377028
16,152,0,0.00014580563426279993,-1.4306868340194423e-05,1.4306868340194423e-05,0.8050305928146826
16,330,1,0.00031140367384355894,2.4268765603461913e-05,2.4268765603461913e-05,0.9211778068296885
16,365,0,0.0001686910151020879,-9.405330558820956e-06,9.405330558820956e-06,0.3562126380872314
17,82,0,0.00019329314623660953,-2.35933752038135e-06,2.35933752038135e-06,0.07890786606193839
17,140,0,0.0001310260783491302,1.3321918864529503e-05,1.3321918864529503e-05,0.8289171387166828
17,141,0,0.00017397382728062178,1.3083287673370248e-05,1.3083287673370248e-05,0.7702259867456972
17,419,0,8.065847549201047e-05,-7.530303172989905e-06,7.530303172989905e-06,0.8625959926369657
17,443,0,0.00019431683127371302,-1.0472472937098523e-05,1.0472472937098523e-05,0.39157103222584105
17,448,0,0.00020829011472378074,-6.043092907452854e-06,6.043092907452854e-06,0.4214012222978709
18,65,0,0.00022334679791371478,-2.0039132457988116e-05,2.0039132457988116e-05,0.881287975431886
18,183,0,0.0002574203552157907,3.867600117023875e-06,3.867600117023875e-06,0.027416646574994513
18,266,0,0.0002362836413759006,1.0919118192674857e-05,1.0919118192674857e-05,0.46745442479829874
18,477,0,0.0002575414067840439,5.252414148260984e-06,5.252414148260984e-06,0.05704058822674794
