atom_id,atom_type,x_m,y_m,z_m,radius_m,high_conductivity,temperature_K,contact_degree,absolute_heat_throughput_W,hot_wall_link,cold_wall_link,on_minimum_resistance_path
160,2,0.0022856,0.0145082,0.00925216,0.001,0,300.4376215742603,7,6.901605531740661e-05,0,0,0
161,2,0.00179259,0.00373121,0.000942048,0.001,0,300.9481580691113,4,2.7364168878173626e-05,1,0,0
162,2,0.0145569,0.01125,0.00958401,0.001,0,300.4139949299334,5,6.990556136445433e-05,0,0,0
163,2,0.0104494,0.0041918,0.00970165,0.001,0,300.35506274626215,5,5.346659056989341e-05,0,0,0
164,2,0.0125467,0.000691416,0.0145152,0.001,0,300.0606904951697,3,5.2198144099707905e-05,0,1,0
165,2,0.00509822,0.0110078,0.00640293,0.001,0,300.59203267120756,6,7.015562305209324e-05,0,0,0
166,2,0.0109612,0.0108004,0.01098,0.001,0,300.2977675222435,4,4.670364889049819e-05,0,0,0
167,2,0.00688329,0.00340692,0.0143901,0.001,0,300.0564762903364,5,1.6341166251494577e-05,0,1,0
168,2,0.0120602,0.0118554,0.00443186,0.001,0,300.71020355751233,6,9.987970870667672e-05,0,0,0
169,2,0.000538242,0.0152463,0.0143884,0.001,0,300.05134222243555,3,2.784285518775337e-05,0,1,0
170,2,1.52415e-05,0.00574302,0.00951558,0.001,0,300.3887333716031,5,7.24222432660441e-05,0,0,0
171,2,0.00440958,0.0143626,0.0145282,0.001,0,300.06520656254736,4,6.044412812966432e-05,0,1,0
172,2,0.0106653,0.000433149,0.0097738,0.001,1,300.3695129398286,6,0.0007056119371591026,0,0,0
173,2,0.010716,0.000232972,0.0115652,0.001,1,300.25848684077533,4,0.0006994215272948215,0,0,0
174,2,0.00604833,0.00253204,0.00140224,0.001,0,nan,0,0.0,0,0,0
175,2,0.000257004,0.0148446,0.000978732,0.001,1,300.9568203558312,3,0.0001259425204911881,1,0,0
176,2,0.0106435,0.00802451,0.0145352,0.001,0,300.0477295712569,5,4.2558306918740526e-05,0,1,0
177,2,0.00441845,0.0127797,0.0136226,0.001,0,300.12958649276817,4,3.8281680931837305e-05,0,0,0
178,2,0.0013163,0.00973301,0.0144238,0.001,1,300.04354923675544,3,0.00020085103687485096,0,1,0
179,2,0.00779511,0.0100188,0.0145682,0.001,0,300.0637922530924,5,5.670919317883081e-05,0,1,0
180,2,0.00700269,0.00639403,0.00492724,0.001,0,300.6201246256508,7,0.0002037537348594014,0,0,0
181,2,0.00832408,0.00779038,0.00508726,0.001,0,300.66875550128003,8,6.611897352765143e-05,0,0,0
182,2,0.0113626,0.00895506,0.00296166,0.001,0,300.8101446222943,8,7.79121057187582e-05,0,0,0
183,2,0.000595232,0.00442376,0.00558026,0.001,0,300.6612750080133,3,1.160723276843122e-05,0,0,0
184,2,0.00577495,0.00516388,0.00766243,0.001,0,300.45447394267336,4,9.76019911868269e-05,0,0,0
185,2,0.00199147,0.00806141,0.0063271,0.001,0,300.61941803403687,6,9.502189728858651e-05,0,0,0
186,2,0.00211998,0.0109038,0.0130038,0.001,0,300.1515124257073,6,5.097551257564391e-05,0,0,0
187,2,0.0141259,0.00608338,0.000968971,0.001,0,300.94863923682607,6,2.9711103960186248e-05,1,0,0
188,2,0.00250635,0.00565612,0.0063415,0.001,0,300.57865697104864,5,6.532554119295989e-05,0,0,0
189,2,0.00888094,0.000740739,0.0093095,0.001,0,300.39359500499006,5,6.320453970173591e-05,0,0,0
190,2,0.00999621,0.0109642,0.0126444,0.001,0,300.17216272352044,6,8.750003400746876e-05,0,0,0
191,2,0.00864237,0.0106469,0.0113334,0.001,0,300.2679936434955,5,9.374854382091088e-05,0,0,0
192,2,0.000969465,0.00402503,0.00960789,0.001,0,300.3658913894135,8,0.00012859050752164931,0,0,0
193,2,0.0127233,0.00079723,0.00738357,0.001,0,300.5366581347278,5,4.911024783569463e-05,0,0,0
194,2,0.0146976,0.0107951,0.00618344,0.001,0,300.61480453022267,7,8.812698361452807e-05,0,0,0
195,2,0.0138771,0.00294134,0.00892731,0.001,0,300.43680076642147,4,7.342044703455744e-05,0,0,0
196,2,0.000773612,0.00264311,0.0131646,0.001,1,300.1047673361259,5,0.0008668540641791941,0,0,0
197,2,0.00194235,0.00933517,0.00774063,0.001,0,300.5087784332003,7,7.489112971018023e-05,0,0,0
198,2,0.0028642,0.00860811,0.00289342,0.001,0,300.8278760292388,6,7.948807468515633e-05,0,0,0
199,2,0.0142049,0.0134024,0.000882122,0.001,0,300.940969409821,3,5.662021594132462e-05,1,0,0
200,2,0.00271385,0.0120951,0.000983228,0.001,0,300.96892962619796,4,1.199324239540887e-05,1,0,0
201,2,0.000449221,0.0133317,0.0111781,0.001,0,300.3075103104228,5,4.231428457968313e-05,0,0,0
202,2,0.00512241,0.0142025,0.0125249,0.001,0,300.2024365771321,8,8.352065508815832e-05,0,0,0
203,2,0.0090967,0.0152193,0.0051464,0.001,0,300.64813695025333,4,4.27480021509428e-05,0,0,0
204,2,0.0143573,0.0127819,0.00851817,0.001,0,300.49412933861555,7,9.310422510603727e-05,0,0,0
205,2,0.0136468,0.0117768,0.00161815,0.001,0,300.8611580626883,5,6.729194464967817e-05,0,0,0
206,2,0.0140915,0.00668328,0.00283329,0.001,0,300.8266563119468,7,7.459769898669291e-05,0,0,0
207,2,0.00140268,0.00676794,0.00759816,0.001,0,300.5120491899531,6,0.00010119154496043871,0,0,0
208,2,0.0148179,0.00401886,0.0106743,0.001,0,300.28052455511994,5,6.885580113064543e-05,0,0,0
209,2,0.0128927,0.0122358,0.00968693,0.001,0,300.4068528728808,5,2.9650781451946757e-05,0,0,0
210,2,0.0106344,0.00516889,0.00633136,0.001,0,300.5851947290421,5,4.2820817350068913e-05,0,0,0
211,2,0.0132691,0.00322139,0.00440678,0.001,0,300.7151390094224,7,5.7258333903256674e-05,0,0,0
212,2,0.00537116,0.00290926,0.0111914,0.001,0,300.2517027064278,5,4.975118391935732e-05,0,0,0
213,2,0.0135756,0.00512942,0.00967011,0.001,0,300.35158761629503,7,8.978599810782891e-05,0,0,0
214,2,0.00886412,0.00308307,0.00375224,0.001,0,300.7582807492094,7,7.52502184981946e-05,0,0,0
215,2,0.00952206,0.00691311,0.000898627,0.001,1,300.98247681814297,5,0.00011158456207019324,1,0,0
216,2,0.000394765,0.00965594,0.0100309,0.001,0,300.32974832381734,6,9.916685532877941e-05,0,0,0
217,2,0.0007164,0.000291917,0.00791993,0.001,1,300.52764085740273,6,0.0004960554966521291,0,0,0
218,2,0.00524774,0.0125483,0.00962598,0.001,0,300.3988609354317,7,6.969804559454692e-05,0,0,0
219,2,0.0138968,0.00243653,0.0114075,0.001,0,300.23669065158435,5,5.026270312615838e-05,0,0,0
220,2,0.0129113,0.0106478,0.0110132,0.001,0,300.29891520997364,4,4.503884804270017e-05,0,0,0
221,2,0.0118976,0.0110956,0.00824709,0.001,0,300.4969675361421,5,3.0153218406473063e-05,0,0,0
222,2,0.00982367,0.0150127,0.0133574,0.001,0,300.13086138763515,5,2.5900273632647237e-05,0,0,0
223,2,0.00591345,0.0104097,0.000918365,0.001,0,300.94889906396577,2,2.9200954631393034e-05,1,0,0
224,2,0.00490533,0.00069221,0.00926079,0.001,0,300.4039605545204,6,8.150737881271148e-05,0,0,0
225,2,0.0123963,0.00678884,0.00680525,0.001,0,300.52627293869085,3,4.048125522644444e-05,0,0,0
226,2,0.00365581,0.0111931,0.00410831,0.001,0,300.7160636575885,4,3.167515082227467e-05,0,0,0
227,2,0.0111058,0.015098,0.00812776,0.001,1,300.47969727367274,8,0.0006960452910857504,0,0,0
228,2,0.00737449,0.00408512,0.00181528,0.001,0,300.86570970258276,6,3.41443839997582e-05,0,0,0
229,2,0.0018468,0.00559321,0.0090898,0.001,0,300.4174603459012,7,0.00010694517565044959,0,0,0
230,2,0.00106997,0.00493477,0.00746085,0.001,0,300.50807279919724,6,4.671926148630334e-05,0,0,0
231,2,0.00702218,0.00933933,0.00230049,0.001,0,300.82506000745525,7,6.845038175806717e-05,0,0,0
232,2,0.0142658,0.0148428,0.0112978,0.001,0,300.3515887906032,4,0.00010249020505873211,0,0,0
233,2,0.00841092,0.00959626,0.0058444,0.001,0,300.635465494072,6,7.123988270411721e-05,0,0,0
234,2,0.0125201,0.000435398,0.0101814,0.001,0,300.3582857501059,3,4.0320016497987635e-05,0,0,0
235,2,0.00509977,0.0104938,0.0114683,0.001,0,300.2542189369949,6,4.9351143299748474e-05,0,0,0
236,2,0.0147244,0.0118431,0.011367,0.001,0,300.2994174133931,7,0.00010674020586166102,0,0,0
237,2,0.00512251,0.00157736,0.0126485,0.001,0,300.175332797348,6,6.0044514674423424e-05,0,0,0
238,2,0.00251217,0.00823778,0.0121972,0.001,0,300.2160922591263,5,3.4797097606000524e-05,0,0,0
